WKT;HRB_Number
"POINT (-117.127782901375369 32.720045784579582)";    848.00000000000
"POINT (-117.273234969134137 32.823441679732284)";    849.00000000000
"POINT (-117.129951686774163 32.720708525479893)";    850.00000000000
"POINT (-117.163357840533891 32.738099800480612)";    851.00000000000
"POINT (-117.100744152144259 32.766163414314285)";    852.00000000000
"POINT (-117.177553393975543 32.744594800073649)";    853.00000000000
"POINT (-117.261968976928998 32.848820416909518)";    854.00000000000
"POINT (-117.228617334811688 32.722511906236917)";    855.00000000000
"POINT (-117.132640587078228 32.726972211687567)";    856.00000000000
"POINT (-117.099935335602268 32.761904340707552)";    857.00000000000
"POINT (-117.116606140159917 32.701017223830419)";    893.00000000000
"POINT (-117.193590042498116 32.758585043917861)";      4.00000000000
"POINT (-117.164220941253177 32.730574474593425)";     37.00000000000
"POINT (-117.164232146315825 32.731678970961028)";     38.00000000000
"POINT (-117.142224603916418 32.716098595813627)";     39.00000000000
"POINT (-117.157769956034713 32.741714462966364)";     40.00000000000
"POINT (-117.157479841808652 32.742724304800582)";     41.00000000000
"POINT (-117.159729179264843 32.737348105166568)";     49.00000000000
"POINT (-117.172002009941991 32.736955834735831)";    977.00000000000
"POINT (-117.18418963170646 32.750962795402202)";    978.00000000000
"POINT (-117.188382706436457 32.75430167380955)";    979.00000000000
"POINT (-117.167981745855897 32.739650001875589)";    980.00000000000
"POINT (-117.165309836629191 32.746488943455262)";     18.00000000000
"POINT (-117.160914950614909 32.732670645323481)";     52.00000000000
"POINT (-117.161611213939622 32.725633088274137)";     53.00000000000
"POINT (-117.161481611296907 32.71026864944195)";     54.00000000000
"POINT (-117.232861107486428 32.720723923274655)";     55.00000000000
"POINT (-117.162731438084663 32.723874951997153)";     57.00000000000
"POINT (-117.165498070706519 32.740321130690852)";     62.00000000000
"POINT (-117.165498668107929 32.740623196084591)";     63.00000000000
"POINT (-117.165457895234042 32.740975680314939)";     64.00000000000
"POINT (-117.165542810263219 32.741111693237606)";     65.00000000000
"POINT (-117.16044347289403 32.712030458141001)";     66.00000000000
"POINT (-117.159867065764374 32.714825067207713)";     67.00000000000
"POINT (-117.159834552334118 32.711770075716885)";     69.00000000000
"POINT (-117.159508777737173 32.71173737929503)";     70.00000000000
"POINT (-117.16045173378339 32.713779752965984)";     71.00000000000
"POINT (-117.159867935000861 32.714057189528141)";     72.00000000000
"POINT (-117.159867711638185 32.714193583601777)";     73.00000000000
"POINT (-117.163353153113619 32.715411164652195)";     76.00000000000
"POINT (-117.161364252176526 32.714328886759802)";     77.00000000000
"POINT (-117.126674429578941 32.70192776529732)";     78.00000000000
"POINT (-117.277171522974555 32.84405807979001)";     79.00000000000
"POINT (-117.167094330646293 32.717441355654927)";     83.00000000000
"POINT (-117.271089016896184 32.84950527853713)";     84.00000000000
"POINT (-117.144239135691606 32.71602777820619)";     85.00000000000
"POINT (-117.266518106959353 32.848437286553008)";     86.00000000000
"POINT (-117.160453501522454 32.71482176673495)";     88.00000000000
"POINT (-117.160450415631814 32.713248608733792)";     92.00000000000
"POINT (-117.160449507846621 32.71294284207908)";     93.00000000000
"POINT (-117.163224528024202 32.72952592434936)";     94.00000000000
"POINT (-117.161524734219014 32.712870315947285)";     96.00000000000
"POINT (-117.158711331830688 32.741709269132841)";     97.00000000000
"POINT (-117.15870386954515 32.742430120795966)";     98.00000000000
"POINT (-117.158696602429643 32.74296194212571)";     99.00000000000
"POINT (-117.164503930543944 32.725542211185441)";    100.00000000000
"POINT (-117.270728882741537 32.8492079639271)";    102.00000000000
"POINT (-117.160441023960672 32.711689578187489)";    103.00000000000
"POINT (-117.164583696360324 32.725335692704341)";    104.00000000000
"POINT (-117.255537872259964 32.732677255003097)";    107.00000000000
"POINT (-117.245258925891207 32.852365276943914)";    108.00000000000
"POINT (-117.155387825622313 32.713465087118387)";    109.00000000000
"POINT (-117.166045726934399 32.713056010120788)";    111.00000000000
"POINT (-117.105780448433876 32.784511101022247)";    113.00000000000
"POINT (-117.160820162887674 32.720038822467863)";    115.00000000000
"POINT (-117.164600649981395 32.738283674614124)";    118.00000000000
"POINT (-117.248260727524524 32.866929032991223)";    119.00000000000
"POINT (-117.168819043787181 32.730840494799104)";    120.00000000000
"POINT (-117.141567450387583 32.714451372858932)";    121.00000000000
"POINT (-117.129284633370474 32.715116168803405)";    122.00000000000
"POINT (-117.165885441688431 32.722402649928888)";    123.00000000000
"POINT (-117.129013491371637 32.732754389114653)";    124.00000000000
"POINT (-117.128953303780349 32.733077590109247)";    125.00000000000
"POINT (-117.128692317899706 32.733123569088846)";    126.00000000000
"POINT (-117.278064821483568 32.835401920441058)";    128.00000000000
"POINT (-117.16417784093035 32.725566086005983)";    129.00000000000
"POINT (-117.159707492396649 32.714399895930157)";    132.00000000000
"POINT (-117.156620991439425 32.750382215084116)";    134.00000000000
"POINT (-117.27792248981342 32.835227139152792)";    133.00000000000
"POINT (-117.162323444556947 32.71857857334161)";    135.00000000000
"POINT (-117.162700287162053 32.727653756552201)";    136.00000000000
"POINT (-117.161324976387675 32.711003493635218)";    137.00000000000
"POINT (-117.140852273906262 32.700838025536349)";    138.00000000000
"POINT (-117.161587202071431 32.722211362725076)";    139.00000000000
"POINT (-117.245478733268982 32.712199956065987)";    142.00000000000
"POINT (-117.16945247537339 32.718086245625805)";    145.00000000000
"POINT (-117.203977630171195 32.7846837260632)";    146.00000000000
"POINT (-117.160412137854181 32.711108486315524)";    147.00000000000
"POINT (-117.163617773313874 32.727441197765245)";    148.00000000000
"POINT (-117.165120204400154 32.730067949172216)";    149.00000000000
"POINT (-117.16221652530227 32.709777940429177)";    150.00000000000
"POINT (-117.162222885515988 32.710590357305698)";    151.00000000000
"POINT (-117.163300298791825 32.728551885386416)";    153.00000000000
"POINT (-117.145211804671391 32.716510637613681)";    154.00000000000
"POINT (-117.143461018846125 32.713946422860445)";    155.00000000000
"POINT (-117.162750544644851 32.732636835179896)";    156.00000000000
"POINT (-117.160024815598135 32.734792493609213)";    157.00000000000
"POINT (-117.142710546533195 32.716004495582204)";    158.00000000000
"POINT (-117.158744153323966 32.710105901735766)";    159.00000000000
"POINT (-117.145528938803707 32.711993228170904)";    160.00000000000
"POINT (-117.164090653312172 32.71341614267061)";    161.00000000000
"POINT (-117.129196843230957 32.731736855309173)";    163.00000000000
"POINT (-117.272831290122113 32.8467668352678)";    164.00000000000
"POINT (-117.144591628806424 32.707141035204053)";    165.00000000000
"POINT (-117.277256249357919 32.84517321313519)";    166.00000000000
"POINT (-117.163357890752934 32.738446811494455)";    167.00000000000
"POINT (-117.142702501814014 32.714433770411532)";    168.00000000000
"POINT (-117.163357591952447 32.73789332921087)";    169.00000000000
"POINT (-117.107619401423747 32.763843825158823)";    170.00000000000
"POINT (-117.145547517525259 32.714267492807259)";    171.00000000000
"POINT (-117.163311757313551 32.73015075169306)";    172.00000000000
"POINT (-117.162783789773101 32.739428141316552)";    173.00000000000
"POINT (-117.162786684797098 32.739920119240281)";    174.00000000000
"POINT (-117.166052225169068 32.715401813733287)";    175.00000000000
"POINT (-117.158799328930087 32.715457542717843)";    176.00000000000
"POINT (-117.134580176452474 32.709114161727932)";    177.00000000000
"POINT (-117.163037005181948 32.741926055469492)";    178.00000000000
"POINT (-117.27708297488104 32.843796962552283)";    179.00000000000
"POINT (-117.133611159694198 32.720034167726332)";    180.00000000000
"POINT (-117.276191947268501 32.847282878175669)";    181.00000000000
"POINT (-117.143416992096846 32.718061787719492)";    182.00000000000
"POINT (-117.127880508747481 32.738822069458259)";    183.00000000000
"POINT (-117.164599936138998 32.740304890958654)";    184.00000000000
"POINT (-117.164616346719356 32.742483982586691)";    186.00000000000
"POINT (-117.163621556884564 32.72803003776604)";    187.00000000000
"POINT (-117.165268408578427 32.742174059798707)";    188.00000000000
"POINT (-117.157123298632769 32.713111315515192)";    189.00000000000
"POINT (-117.143395245702891 32.715198349719415)";    190.00000000000
"POINT (-117.158957211785392 32.714373114791762)";    191.00000000000
"POINT (-117.163065383325815 32.745540139806614)";    192.00000000000
"POINT (-117.142821721818564 32.714570279082665)";    193.00000000000
"POINT (-117.168976253502734 32.723485469790091)";    259.00000000000
"POINT (-117.168992497121252 32.726857288529565)";    260.00000000000
"POINT (-117.168024136039179 32.723260019039394)";    261.00000000000
"POINT (-117.165303141274279 32.745666489059523)";    370.00000000000
"POINT (-117.240664961743136 32.71172230269034)";    371.00000000000
"POINT (-117.231441273248862 32.720536596321622)";    373.00000000000
"POINT (-117.16077499435238 32.715927802176786)";    374.00000000000
"POINT (-117.276583153642321 32.840001433242179)";    375.00000000000
"POINT (-117.25246484312828 32.719283773946628)";    379.00000000000
"POINT (-117.270155965063552 32.849182854797192)";    380.00000000000
"POINT (-117.113288493047634 32.754859659028263)";    381.00000000000
"POINT (-117.156921127922928 32.709641032112202)";    382.00000000000
"POINT (-117.148250855052936 32.709698715385585)";    384.00000000000
"POINT (-117.15896190507182 32.714907321597664)";    385.00000000000
"POINT (-117.269745933520753 32.8489988928579)";    386.00000000000
"POINT (-117.099333708026506 32.762278762837298)";    387.00000000000
"POINT (-117.13328165749995 32.734540987239384)";    388.00000000000
